case_id,account_id,customer_id,cluster_id,status,assigned_investigator,region,opened_at,sla_due_at,final_disposition
CASE0021,NA0033,CN0033,,CLOSED_CONFIRMED,north_team_1,NORTH,2026-08-07T08:00:00Z,2026-08-12T08:00:00Z,CONFIRMED
CASE0022,SA0064,CS0064,,CLOSED_CLEARED,south_team_2,SOUTH,2026-06-09T19:00:00Z,2026-06-14T19:00:00Z,CLEARED
CASE0023,EA0003,CE0003,,CLOSED_CLEARED,east_team_3,EAST,2026-07-03T03:00:00Z,2026-07-08T03:00:00Z,CLEARED
CASE0024,WA0068,CW0068,,CLOSED_CLEARED,west_team_1,WEST,2026-06-05T06:00:00Z,2026-06-10T06:00:00Z,CLEARED
CASE0025,NA0079,CN0079,,CLOSED_CONFIRMED,north_team_2,NORTH,2026-07-24T06:00:00Z,2026-07-29T06:00:00Z,CONFIRMED
CASE0026,SA0045,CS0045,,CLOSED_CONFIRMED,south_team_3,SOUTH,2026-06-29T17:00:00Z,2026-07-04T17:00:00Z,CONFIRMED
CASE0027,EA0065,CE0065,,CLOSED_CLEARED,east_team_1,EAST,2026-06-10T08:00:00Z,2026-06-15T08:00:00Z,CLEARED
CASE0028,WA0078,CW0078,,CLOSED_CLEARED,west_team_2,WEST,2026-07-05T21:00:00Z,2026-07-10T21:00:00Z,CLEARED
CASE0029,NA0078,CN0078,,CLOSED_CLEARED,north_team_3,NORTH,2026-07-13T19:00:00Z,2026-07-18T19:00:00Z,CLEARED
CASE0030,SA0008,CS0008,,CLOSED_CONFIRMED,south_team_1,SOUTH,2026-06-09T18:00:00Z,2026-06-14T18:00:00Z,CONFIRMED
CASE0031,EA0049,CE0049,,CLOSED_CONFIRMED,east_team_2,EAST,2026-07-06T00:00:00Z,2026-07-11T00:00:00Z,CONFIRMED
CASE0032,WA0062,CW0062,,CLOSED_CLEARED,west_team_3,WEST,2026-07-31T04:00:00Z,2026-08-05T04:00:00Z,CLEARED
CASE0033,NA0065,CN0065,,CLOSED_CLEARED,north_team_1,NORTH,2026-06-18T21:00:00Z,2026-06-23T21:00:00Z,CLEARED
CASE0034,SA0032,CS0032,,CLOSED_CLEARED,south_team_2,SOUTH,2026-07-15T01:00:00Z,2026-07-20T01:00:00Z,CLEARED
CASE0035,EA0069,CE0069,,CLOSED_CONFIRMED,east_team_3,EAST,2026-06-27T08:00:00Z,2026-07-02T08:00:00Z,CONFIRMED
CASE0036,WA0005,CW0005,,CLOSED_CONFIRMED,west_team_1,WEST,2026-06-13T10:00:00Z,2026-06-18T10:00:00Z,CONFIRMED
CASE0037,NA0051,CN0051,,CLOSED_CLEARED,north_team_2,NORTH,2026-06-25T12:00:00Z,2026-06-30T12:00:00Z,CLEARED
CASE0038,SA0032,CS0032,,CLOSED_CLEARED,south_team_3,SOUTH,2026-07-21T11:00:00Z,2026-07-26T11:00:00Z,CLEARED
CASE0039,EA0055,CE0055,,CLOSED_CLEARED,east_team_1,EAST,2026-07-23T22:00:00Z,2026-07-28T22:00:00Z,CLEARED
CASE0040,WA0057,CW0057,,CLOSED_CONFIRMED,west_team_2,WEST,2026-07-20T04:00:00Z,2026-07-25T04:00:00Z,CONFIRMED
CASE0041,NA0019,CN0019,,CLOSED_CONFIRMED,north_team_3,NORTH,2026-08-17T09:00:00Z,2026-08-22T09:00:00Z,CONFIRMED
CASE0042,SA0009,CS0009,,CLOSED_CLEARED,south_team_1,SOUTH,2026-06-03T08:00:00Z,2026-06-08T08:00:00Z,CLEARED
CASE0043,EA0032,CE0032,,CLOSED_CLEARED,east_team_2,EAST,2026-07-05T04:00:00Z,2026-07-10T04:00:00Z,CLEARED
CASE0044,WA0075,CW0075,,CLOSED_CLEARED,west_team_3,WEST,2026-08-04T20:00:00Z,2026-08-09T20:00:00Z,CLEARED
CASE0045,NA0031,CN0031,,CLOSED_CONFIRMED,north_team_1,NORTH,2026-06-24T17:00:00Z,2026-06-29T17:00:00Z,CONFIRMED
CASE0046,SA0010,CS0010,,CLOSED_CONFIRMED,south_team_2,SOUTH,2026-07-10T03:00:00Z,2026-07-15T03:00:00Z,CONFIRMED
CASE0047,EA0057,CE0057,,CLOSED_CLEARED,east_team_3,EAST,2026-06-23T18:00:00Z,2026-06-28T18:00:00Z,CLEARED
CASE0048,WA0039,CW0039,,CLOSED_CLEARED,west_team_1,WEST,2026-06-06T18:00:00Z,2026-06-11T18:00:00Z,CLEARED
CASE0049,NA0071,CN0071,,CLOSED_CLEARED,north_team_2,NORTH,2026-07-22T18:00:00Z,2026-07-27T18:00:00Z,CLEARED
CASE0050,SA0011,CS0011,,CLOSED_CONFIRMED,south_team_3,SOUTH,2026-07-01T10:00:00Z,2026-07-06T10:00:00Z,CONFIRMED
CASE0051,EA0070,CE0070,,CLOSED_CONFIRMED,east_team_1,EAST,2026-07-16T21:00:00Z,2026-07-21T21:00:00Z,CONFIRMED
CASE0052,WA0054,CW0054,,CLOSED_CLEARED,west_team_2,WEST,2026-06-02T09:00:00Z,2026-06-07T09:00:00Z,CLEARED
CASE0053,NA0071,CN0071,,CLOSED_CLEARED,north_team_3,NORTH,2026-08-02T02:00:00Z,2026-08-07T02:00:00Z,CLEARED
CASE0054,SA0003,CS0003,,CLOSED_CLEARED,south_team_1,SOUTH,2026-08-17T03:00:00Z,2026-08-22T03:00:00Z,CLEARED
CASE0055,EA0080,CE0080,,CLOSED_CONFIRMED,east_team_2,EAST,2026-07-19T02:00:00Z,2026-07-24T02:00:00Z,CONFIRMED
CASE0056,WA0032,CW0032,,CLOSED_CONFIRMED,west_team_3,WEST,2026-06-06T07:00:00Z,2026-06-11T07:00:00Z,CONFIRMED
CASE0057,NA0034,CN0034,,CLOSED_CLEARED,north_team_1,NORTH,2026-07-22T00:00:00Z,2026-07-27T00:00:00Z,CLEARED
CASE0058,SA0042,CS0042,,CLOSED_CLEARED,south_team_2,SOUTH,2026-06-11T11:00:00Z,2026-06-16T11:00:00Z,CLEARED
CASE0059,EA0013,CE0013,,CLOSED_CLEARED,east_team_3,EAST,2026-07-22T05:00:00Z,2026-07-27T05:00:00Z,CLEARED
CASE0060,WA0046,CW0046,,CLOSED_CONFIRMED,west_team_1,WEST,2026-06-10T18:00:00Z,2026-06-15T18:00:00Z,CONFIRMED
CASE0061,NA0040,CN0040,,CLOSED_CONFIRMED,north_team_2,NORTH,2026-07-02T23:00:00Z,2026-07-07T23:00:00Z,CONFIRMED
CASE0062,SA0047,CS0047,,CLOSED_CLEARED,south_team_3,SOUTH,2026-07-06T18:00:00Z,2026-07-11T18:00:00Z,CLEARED
CASE0063,EA0038,CE0038,,CLOSED_CLEARED,east_team_1,EAST,2026-07-02T05:00:00Z,2026-07-07T05:00:00Z,CLEARED
CASE0064,WA0034,CW0034,,CLOSED_CLEARED,west_team_2,WEST,2026-06-04T09:00:00Z,2026-06-09T09:00:00Z,CLEARED
CASE0065,NA0058,CN0058,,CLOSED_CONFIRMED,north_team_3,NORTH,2026-08-08T17:00:00Z,2026-08-13T17:00:00Z,CONFIRMED
CASE0066,SA0005,CS0005,,CLOSED_CONFIRMED,south_team_1,SOUTH,2026-06-11T19:00:00Z,2026-06-16T19:00:00Z,CONFIRMED
CASE0067,EA0004,CE0004,,CLOSED_CLEARED,east_team_2,EAST,2026-06-04T19:00:00Z,2026-06-09T19:00:00Z,CLEARED
CASE0068,WA0023,CW0023,,CLOSED_CLEARED,west_team_3,WEST,2026-08-11T11:00:00Z,2026-08-16T11:00:00Z,CLEARED
CASE0069,NA0076,CN0076,,CLOSED_CLEARED,north_team_1,NORTH,2026-06-06T02:00:00Z,2026-06-11T02:00:00Z,CLEARED
CASE0070,SA0067,CS0067,,CLOSED_CONFIRMED,south_team_2,SOUTH,2026-07-25T12:00:00Z,2026-07-30T12:00:00Z,CONFIRMED
CASE0071,EA0054,CE0054,,CLOSED_CONFIRMED,east_team_3,EAST,2026-07-27T18:00:00Z,2026-08-01T18:00:00Z,CONFIRMED
CASE0072,WA0069,CW0069,,CLOSED_CLEARED,west_team_1,WEST,2026-06-02T01:00:00Z,2026-06-07T01:00:00Z,CLEARED
CASE0073,NA0018,CN0018,,CLOSED_CLEARED,north_team_2,NORTH,2026-07-17T22:00:00Z,2026-07-22T22:00:00Z,CLEARED
CASE0074,SA0067,CS0067,,CLOSED_CLEARED,south_team_3,SOUTH,2026-08-01T12:00:00Z,2026-08-06T12:00:00Z,CLEARED
CASE0075,EA0004,CE0004,,CLOSED_CONFIRMED,east_team_1,EAST,2026-07-14T09:00:00Z,2026-07-19T09:00:00Z,CONFIRMED
CASE0076,WA0076,CW0076,,CLOSED_CONFIRMED,west_team_2,WEST,2026-06-18T22:00:00Z,2026-06-23T22:00:00Z,CONFIRMED
CASE0077,NA0010,CN0010,,CLOSED_CLEARED,north_team_3,NORTH,2026-08-01T22:00:00Z,2026-08-06T22:00:00Z,CLEARED
CASE0078,SA0067,CS0067,,CLOSED_CLEARED,south_team_1,SOUTH,2026-06-05T03:00:00Z,2026-06-10T03:00:00Z,CLEARED
CASE0079,EA0059,CE0059,,CLOSED_CLEARED,east_team_2,EAST,2026-08-03T07:00:00Z,2026-08-08T07:00:00Z,CLEARED
CASE0080,WA0059,CW0059,,CLOSED_CONFIRMED,west_team_3,WEST,2026-06-11T10:00:00Z,2026-06-16T10:00:00Z,CONFIRMED
CASE0081,NA0064,CN0064,,CLOSED_CONFIRMED,north_team_1,NORTH,2026-06-24T00:00:00Z,2026-06-29T00:00:00Z,CONFIRMED
CASE0082,SA0064,CS0064,,CLOSED_CLEARED,south_team_2,SOUTH,2026-06-04T08:00:00Z,2026-06-09T08:00:00Z,CLEARED
CASE0083,EA0015,CE0015,,CLOSED_CLEARED,east_team_3,EAST,2026-06-09T12:00:00Z,2026-06-14T12:00:00Z,CLEARED
CASE0084,WA0056,CW0056,,CLOSED_CLEARED,west_team_1,WEST,2026-07-28T04:00:00Z,2026-08-02T04:00:00Z,CLEARED
CASE0085,NA0024,CN0024,,CLOSED_CONFIRMED,north_team_2,NORTH,2026-07-15T09:00:00Z,2026-07-20T09:00:00Z,CONFIRMED
CASE0086,SA0041,CS0041,,CLOSED_CONFIRMED,south_team_3,SOUTH,2026-07-06T08:00:00Z,2026-07-11T08:00:00Z,CONFIRMED
CASE0087,EA0009,CE0009,,CLOSED_CLEARED,east_team_1,EAST,2026-07-27T00:00:00Z,2026-08-01T00:00:00Z,CLEARED
CASE0088,WA0004,CW0004,,CLOSED_CLEARED,west_team_2,WEST,2026-08-08T00:00:00Z,2026-08-13T00:00:00Z,CLEARED
CASE0089,NA0032,CN0032,,CLOSED_CLEARED,north_team_3,NORTH,2026-08-12T03:00:00Z,2026-08-17T03:00:00Z,CLEARED
CASE0090,SA0068,CS0068,,CLOSED_CONFIRMED,south_team_1,SOUTH,2026-08-04T22:00:00Z,2026-08-09T22:00:00Z,CONFIRMED
CASE0091,EA0078,CE0078,,CLOSED_CONFIRMED,east_team_2,EAST,2026-07-07T11:00:00Z,2026-07-12T11:00:00Z,CONFIRMED
CASE0092,WA0079,CW0079,,CLOSED_CLEARED,west_team_3,WEST,2026-08-01T21:00:00Z,2026-08-06T21:00:00Z,CLEARED
CASE0093,NA0031,CN0031,,CLOSED_CLEARED,north_team_1,NORTH,2026-06-12T20:00:00Z,2026-06-17T20:00:00Z,CLEARED
CASE0094,SA0035,CS0035,,CLOSED_CLEARED,south_team_2,SOUTH,2026-07-07T10:00:00Z,2026-07-12T10:00:00Z,CLEARED
CASE0095,EA0029,CE0029,,CLOSED_CONFIRMED,east_team_3,EAST,2026-06-11T03:00:00Z,2026-06-16T03:00:00Z,CONFIRMED
CASE0096,WA0024,CW0024,,CLOSED_CONFIRMED,west_team_1,WEST,2026-06-12T23:00:00Z,2026-06-17T23:00:00Z,CONFIRMED
CASE0097,NA0036,CN0036,,CLOSED_CLEARED,north_team_2,NORTH,2026-08-06T08:00:00Z,2026-08-11T08:00:00Z,CLEARED
CASE0098,SA0032,CS0032,,CLOSED_CLEARED,south_team_3,SOUTH,2026-08-01T07:00:00Z,2026-08-06T07:00:00Z,CLEARED
CASE0099,EA0068,CE0068,,CLOSED_CLEARED,east_team_1,EAST,2026-06-25T08:00:00Z,2026-06-30T08:00:00Z,CLEARED
CASE0100,WA0045,CW0045,,CLOSED_CONFIRMED,west_team_2,WEST,2026-07-06T19:00:00Z,2026-07-11T19:00:00Z,CONFIRMED
CASE0101,W_SIG_06,CW_SIG_06,SIG-WEST-001,IN_REVIEW,west_team_3,WEST,2026-08-16T12:00:00Z,2026-08-20T17:00:00Z,
CASE0102,W_SIG_04,CW_SIG_04,SIG-WEST-001,OPEN,west_team_1,WEST,2026-08-19T12:00:00Z,2026-08-21T03:00:00Z,
CASE0103,W_SIG_08,CW_SIG_08,SIG-WEST-001,IN_REVIEW,west_team_2,WEST,2026-08-16T12:00:00Z,2026-08-21T06:00:00Z,
CASE0104,W_SIG_01,CW_SIG_01,SIG-WEST-001,OPEN,west_team_3,WEST,2026-08-15T12:00:00Z,2026-08-21T04:00:00Z,
CASE0105,W_SIG_05,CW_SIG_05,SIG-WEST-001,IN_REVIEW,west_team_1,WEST,2026-08-17T12:00:00Z,2026-08-20T18:00:00Z,
CASE0106,W_SIG_07,CW_SIG_07,SIG-WEST-001,OPEN,west_team_2,WEST,2026-08-17T12:00:00Z,2026-08-21T09:00:00Z,
CASE0107,W_SIG_07,CW_SIG_07,SIG-WEST-001,IN_REVIEW,west_team_3,WEST,2026-08-15T12:00:00Z,2026-08-21T01:00:00Z,
CASE0108,WA0040,CW0040,,OPEN,west_team_1,WEST,2026-08-17T12:00:00Z,2026-08-20T15:00:00Z,
CASE0109,WA0045,CW0045,,IN_REVIEW,west_team_2,WEST,2026-08-17T12:00:00Z,2026-08-20T18:00:00Z,
CASE0110,WA0054,CW0054,,OPEN,west_team_3,WEST,2026-08-18T12:00:00Z,2026-08-20T15:00:00Z,
CASE0111,WA0037,CW0037,,IN_REVIEW,west_team_1,WEST,2026-08-18T12:00:00Z,2026-08-21T05:00:00Z,
CASE0112,WA0024,CW0024,,OPEN,west_team_2,WEST,2026-08-17T12:00:00Z,2026-08-21T07:00:00Z,
CASE0113,WA0036,CW0036,,IN_REVIEW,west_team_3,WEST,2026-08-16T12:00:00Z,2026-08-21T09:00:00Z,
CASE0114,WA0004,CW0004,,OPEN,west_team_1,WEST,2026-08-18T12:00:00Z,2026-08-21T02:00:00Z,
CASE0115,WA0065,CW0065,,IN_REVIEW,west_team_2,WEST,2026-08-19T12:00:00Z,2026-08-20T14:00:00Z,
CASE0116,NA0049,CN0049,,OPEN,north_team_3,NORTH,2026-08-18T12:00:00Z,2026-08-21T20:00:00Z,
CASE0117,SA0016,CS0016,,IN_REVIEW,south_team_1,SOUTH,2026-08-15T12:00:00Z,2026-08-22T18:00:00Z,
CASE0118,EA0031,CE0031,,OPEN,east_team_2,EAST,2026-08-17T12:00:00Z,2026-08-23T03:00:00Z,
CASE0119,WA0032,CW0032,,IN_REVIEW,west_team_3,WEST,2026-08-18T12:00:00Z,2026-08-20T15:00:00Z,
CASE0120,NA0078,CN0078,,OPEN,north_team_1,NORTH,2026-08-18T12:00:00Z,2026-08-23T14:00:00Z,
CASE0121,SA0021,CS0021,,IN_REVIEW,south_team_2,SOUTH,2026-08-16T12:00:00Z,2026-08-22T17:00:00Z,
CASE0122,EA0022,CE0022,,OPEN,east_team_3,EAST,2026-08-17T12:00:00Z,2026-08-23T03:00:00Z,
CASE0123,WA0017,CW0017,,IN_REVIEW,west_team_1,WEST,2026-08-15T12:00:00Z,2026-08-21T02:00:00Z,
CASE0124,NA0021,CN0021,,OPEN,north_team_2,NORTH,2026-08-17T12:00:00Z,2026-08-23T06:00:00Z,
