transaction_id,timestamp,account_id,amount_inr,branch_id,region,channel,transaction_type,beneficiary_hash
TX0000077,2026-05-23T22:50:00Z,SA0033,557188.68,S03,SOUTH,ONLINE,CASH_DEPOSIT,
TX0000078,2026-05-23T17:28:00Z,SA0007,53692.27,S01,SOUTH,BRANCH_CASH,CASH_DEPOSIT,
TX0000079,2026-05-23T05:15:00Z,SA0015,189530.49,S04,SOUTH,BRANCH_CASH,CASH_WITHDRAWAL,
TX0000080,2026-05-23T18:33:00Z,SA0044,157438.26,S02,SOUTH,BRANCH_CASH,CASH_DEPOSIT,
TX0000081,2026-05-23T09:33:00Z,SA0011,1350000.0,S04,SOUTH,BRANCH_CASH,TRANSFER,ben_south_0221
TX0000082,2026-05-23T10:15:00Z,SA0032,168773.83,S04,SOUTH,BRANCH_CASH,CASH_DEPOSIT,
TX0000083,2026-05-23T05:14:00Z,SA0013,26145.9,S01,SOUTH,ONLINE,TRANSFER,ben_south_0080
TX0000084,2026-05-23T01:38:00Z,SA0042,85135.51,S03,SOUTH,BRANCH_CASH,TRANSFER,ben_south_0266
TX0000085,2026-05-23T03:23:00Z,SA0049,41073.9,S04,SOUTH,ONLINE,TRANSFER,ben_south_0154
TX0000086,2026-05-23T20:13:00Z,SA0005,240958.01,S01,SOUTH,ONLINE,CASH_WITHDRAWAL,
TX0000087,2026-05-23T07:26:00Z,SA0060,50825.7,S03,SOUTH,BRANCH_CASH,CASH_DEPOSIT,
TX0000088,2026-05-23T11:52:00Z,SA0054,94709.72,S04,SOUTH,BRANCH_CASH,CASH_WITHDRAWAL,
TX0000089,2026-05-23T06:11:00Z,SA0074,120476.33,S03,SOUTH,ONLINE,CASH_DEPOSIT,
TX0000090,2026-05-23T04:44:00Z,SA0064,292553.03,S04,SOUTH,ONLINE,TRANSFER,ben_south_0321
TX0000091,2026-05-23T22:38:00Z,SA0013,661764.09,S01,SOUTH,ONLINE,CASH_DEPOSIT,
TX0000092,2026-05-23T02:41:00Z,SA0079,163008.81,S02,SOUTH,BRANCH_CASH,CASH_DEPOSIT,
TX0000093,2026-05-23T18:13:00Z,EA0042,180845.13,E04,EAST,ONLINE,CASH_DEPOSIT,
TX0000094,2026-05-23T07:07:00Z,EA0025,351883.3,E03,EAST,BRANCH_CASH,TRANSFER,ben_east_0327
TX0000095,2026-05-23T07:42:00Z,EA0067,73143.61,E03,EAST,BRANCH_CASH,CASH_DEPOSIT,
TX0000096,2026-05-23T11:39:00Z,EA0049,106949.64,E04,EAST,BRANCH_CASH,CASH_DEPOSIT,
TX0000097,2026-05-23T08:35:00Z,EA0003,107242.42,E03,EAST,ONLINE,CASH_DEPOSIT,
TX0000098,2026-05-23T06:17:00Z,EA0044,187057.56,E02,EAST,ONLINE,TRANSFER,ben_east_0076
TX0000099,2026-05-23T12:27:00Z,EA0044,41964.64,E02,EAST,BRANCH_CASH,TRANSFER,ben_east_0010
TX0000100,2026-05-23T22:03:00Z,EA0028,26534.75,E04,EAST,ONLINE,TRANSFER,ben_east_0186
TX0000101,2026-05-23T11:12:00Z,EA0009,362014.27,E01,EAST,ONLINE,CASH_WITHDRAWAL,
TX0000102,2026-05-23T03:23:00Z,EA0072,268329.98,E01,EAST,BRANCH_CASH,TRANSFER,ben_east_0092
TX0000103,2026-05-23T19:07:00Z,EA0078,107777.87,E01,EAST,ONLINE,TRANSFER,ben_east_0102
TX0000104,2026-05-23T01:52:00Z,EA0017,97060.8,E04,EAST,BRANCH_CASH,CASH_DEPOSIT,
TX0000105,2026-05-23T02:09:00Z,EA0008,107706.76,E01,EAST,ONLINE,CASH_DEPOSIT,
TX0000106,2026-05-23T10:23:00Z,EA0062,158887.33,E03,EAST,ONLINE,TRANSFER,ben_east_0328
TX0000107,2026-05-23T02:02:00Z,EA0058,55977.17,E01,EAST,BRANCH_CASH,CASH_WITHDRAWAL,
TX0000108,2026-05-23T18:25:00Z,EA0034,515229.16,E04,EAST,BRANCH_CASH,CASH_DEPOSIT,
TX0000109,2026-05-23T20:19:00Z,EA0068,88944.83,E01,EAST,ONLINE,CASH_DEPOSIT,
TX0000110,2026-05-23T17:42:00Z,EA0071,88954.67,E03,EAST,BRANCH_CASH,CASH_DEPOSIT,
TX0000111,2026-05-23T08:07:00Z,EA0073,383605.29,E03,EAST,ATM,CASH_DEPOSIT,
TX0000112,2026-05-23T14:29:00Z,EA0023,171944.48,E02,EAST,ONLINE,TRANSFER,ben_east_0243
TX0000113,2026-05-23T15:40:00Z,EA0050,71648.53,E01,EAST,BRANCH_CASH,TRANSFER,ben_east_0143
TX0000114,2026-05-23T02:27:00Z,EA0035,1350000.0,E04,EAST,BRANCH_CASH,CASH_DEPOSIT,
TX0000115,2026-05-23T22:07:00Z,EA0019,172159.0,E02,EAST,ATM,TRANSFER,ben_east_0189
TX0000116,2026-05-23T22:04:00Z,EA0040,56925.23,E03,EAST,ONLINE,TRANSFER,ben_east_0225
TX0000117,2026-05-23T15:32:00Z,EA0049,175333.03,E02,EAST,BRANCH_CASH,TRANSFER,ben_east_0180
TX0000118,2026-05-23T12:02:00Z,EA0074,386602.55,E02,EAST,BRANCH_CASH,CASH_WITHDRAWAL,
TX0000119,2026-05-23T04:34:00Z,EA0048,161754.41,E03,EAST,BRANCH_CASH,CASH_DEPOSIT,
TX0000120,2026-05-23T05:20:00Z,EA0035,126241.94,E03,EAST,ONLINE,TRANSFER,ben_east_0341
TX0000121,2026-05-23T04:53:00Z,EA0013,157791.39,E02,EAST,BRANCH_CASH,TRANSFER,ben_east_0138
TX0000122,2026-05-23T06:07:00Z,EA0052,36376.77,E04,EAST,ONLINE,CASH_DEPOSIT,
TX0000123,2026-05-23T11:45:00Z,EA0076,35482.82,E04,EAST,ONLINE,TRANSFER,ben_east_0079
TX0000124,2026-05-23T06:57:00Z,EA0059,113498.04,E04,EAST,BRANCH_CASH,CASH_DEPOSIT,
TX0000125,2026-05-23T16:44:00Z,EA0080,132793.93,E04,EAST,ATM,TRANSFER,ben_east_0141
TX0000126,2026-05-23T05:33:00Z,EA0075,81951.17,E02,EAST,ATM,CASH_DEPOSIT,
TX0000127,2026-05-23T10:23:00Z,EA0076,136402.51,E03,EAST,ONLINE,TRANSFER,ben_east_0279
TX0000128,2026-05-23T06:33:00Z,EA0077,255596.7,E01,EAST,ATM,CASH_DEPOSIT,
TX0000129,2026-05-23T18:40:00Z,EA0041,515585.06,E02,EAST,BRANCH_CASH,TRANSFER,ben_east_0149
TX0000130,2026-05-23T22:40:00Z,EA0027,50617.31,E02,EAST,BRANCH_CASH,CASH_DEPOSIT,
TX0000131,2026-05-23T05:37:00Z,EA0005,120577.85,E04,EAST,ATM,TRANSFER,ben_east_0111
TX0000132,2026-05-23T04:28:00Z,EA0009,274923.78,E01,EAST,BRANCH_CASH,TRANSFER,ben_east_0020
TX0000133,2026-05-23T13:35:00Z,EA0074,221202.52,E03,EAST,ONLINE,CASH_DEPOSIT,
TX0000134,2026-05-23T10:40:00Z,EA0049,489803.81,E04,EAST,BRANCH_CASH,CASH_WITHDRAWAL,
TX0000135,2026-05-23T20:35:00Z,EA0051,276301.71,E02,EAST,BRANCH_CASH,CASH_DEPOSIT,
TX0000136,2026-05-23T03:40:00Z,EA0044,105007.9,E03,EAST,BRANCH_CASH,CASH_DEPOSIT,
TX0000137,2026-05-23T13:59:00Z,EA0016,287582.9,E04,EAST,ATM,TRANSFER,ben_east_0167
TX0000138,2026-05-23T08:35:00Z,EA0062,493482.64,E02,EAST,BRANCH_CASH,CASH_DEPOSIT,
TX0000139,2026-05-23T06:04:00Z,WA0057,200396.71,W03,WEST,BRANCH_CASH,CASH_DEPOSIT,
TX0000140,2026-05-23T17:58:00Z,WA0051,361898.8,W04,WEST,ONLINE,TRANSFER,ben_west_0166
TX0000141,2026-05-23T14:04:00Z,WA0050,103399.64,W03,WEST,BRANCH_CASH,CASH_DEPOSIT,
TX0000142,2026-05-23T13:16:00Z,WA0037,70328.05,W04,WEST,BRANCH_CASH,CASH_DEPOSIT,
TX0000143,2026-05-23T05:01:00Z,WA0035,263788.23,W03,WEST,BRANCH_CASH,TRANSFER,ben_west_0333
TX0000144,2026-05-23T00:46:00Z,WA0041,228583.65,W01,WEST,ONLINE,TRANSFER,ben_west_0339
TX0000145,2026-05-23T12:52:00Z,WA0016,411859.87,W04,WEST,ONLINE,CASH_DEPOSIT,
TX0000146,2026-05-23T15:24:00Z,WA0050,127072.92,W03,WEST,ATM,CASH_DEPOSIT,
TX0000147,2026-05-23T02:11:00Z,WA0057,392626.11,W03,WEST,ONLINE,TRANSFER,ben_west_0178
TX0000148,2026-05-23T07:31:00Z,WA0044,319865.43,W04,WEST,ONLINE,TRANSFER,ben_west_0062
TX0000149,2026-05-23T05:26:00Z,WA0031,446385.31,W01,WEST,ONLINE,CASH_WITHDRAWAL,
TX0000150,2026-05-23T18:10:00Z,WA0018,65755.01,W01,WEST,BRANCH_CASH,TRANSFER,ben_west_0206
TX0000151,2026-05-23T14:59:00Z,WA0050,62456.52,W04,WEST,BRANCH_CASH,TRANSFER,ben_west_0190
TX0000152,2026-05-23T07:28:00Z,WA0013,80089.48,W01,WEST,ONLINE,CASH_DEPOSIT,
TX0000153,2026-05-23T11:11:00Z,WA0034,40717.34,W01,WEST,BRANCH_CASH,TRANSFER,ben_west_0296
TX0000154,2026-05-23T12:12:00Z,WA0059,63697.25,W02,WEST,BRANCH_CASH,TRANSFER,ben_west_0228
TX0000155,2026-05-23T03:06:00Z,WA0016,131755.47,W02,WEST,ATM,TRANSFER,ben_west_0054
TX0000156,2026-05-23T15:58:00Z,WA0015,151885.33,W01,WEST,BRANCH_CASH,CASH_DEPOSIT,
TX0000157,2026-05-23T10:04:00Z,WA0036,128126.86,W01,WEST,ATM,CASH_DEPOSIT,
TX0000158,2026-05-23T14:19:00Z,WA0055,37172.57,W02,WEST,ONLINE,CASH_DEPOSIT,
TX0000159,2026-05-23T17:42:00Z,WA0002,185922.94,W04,WEST,BRANCH_CASH,CASH_DEPOSIT,
TX0000160,2026-05-23T09:00:00Z,WA0001,129819.07,W03,WEST,ATM,CASH_WITHDRAWAL,
TX0000161,2026-05-23T02:41:00Z,WA0042,56331.55,W04,WEST,BRANCH_CASH,CASH_DEPOSIT,
TX0000162,2026-05-23T21:42:00Z,WA0067,174300.61,W04,WEST,ATM,CASH_DEPOSIT,
TX0000163,2026-05-23T22:37:00Z,WA0023,107576.66,W04,WEST,ONLINE,TRANSFER,ben_west_0258
TX0000164,2026-05-23T18:21:00Z,WA0004,198084.0,W02,WEST,ATM,CASH_WITHDRAWAL,
TX0000165,2026-05-23T22:43:00Z,WA0008,411371.35,W03,WEST,BRANCH_CASH,CASH_DEPOSIT,
TX0000166,2026-05-23T00:55:00Z,WA0026,272082.86,W01,WEST,ONLINE,CASH_WITHDRAWAL,
TX0000167,2026-05-23T01:39:00Z,WA0017,159228.44,W01,WEST,BRANCH_CASH,TRANSFER,ben_west_0032
TX0000168,2026-05-23T10:01:00Z,WA0044,87887.3,W04,WEST,ATM,TRANSFER,ben_west_0091
TX0000169,2026-05-23T11:51:00Z,WA0071,252917.75,W02,WEST,BRANCH_CASH,TRANSFER,ben_west_0299
TX0000170,2026-05-23T09:16:00Z,WA0070,110757.1,W03,WEST,ONLINE,CASH_WITHDRAWAL,
TX0000171,2026-05-23T16:34:00Z,WA0025,289159.15,W03,WEST,BRANCH_CASH,CASH_DEPOSIT,
TX0000172,2026-05-23T04:34:00Z,WA0037,334254.84,W02,WEST,BRANCH_CASH,TRANSFER,ben_west_0122
TX0000173,2026-05-23T16:37:00Z,WA0025,74938.17,W01,WEST,BRANCH_CASH,CASH_WITHDRAWAL,
TX0000174,2026-05-23T17:10:00Z,WA0046,67784.82,W01,WEST,ONLINE,CASH_DEPOSIT,
TX0000175,2026-05-23T11:37:00Z,WA0046,216605.26,W02,WEST,BRANCH_CASH,CASH_DEPOSIT,
TX0000176,2026-05-23T09:51:00Z,WA0065,101709.8,W03,WEST,ATM,TRANSFER,ben_west_0240
TX0000177,2026-05-23T19:04:00Z,WA0080,218853.17,W03,WEST,BRANCH_CASH,CASH_DEPOSIT,
TX0000178,2026-05-23T04:30:00Z,WA0063,246210.29,W03,WEST,BRANCH_CASH,TRANSFER,ben_west_0093
TX0000179,2026-05-23T01:23:00Z,WA0021,132717.98,W04,WEST,BRANCH_CASH,CASH_DEPOSIT,
TX0000180,2026-05-23T09:54:00Z,WA0003,158436.57,W02,WEST,BRANCH_CASH,CASH_DEPOSIT,
TX0000181,2026-05-23T08:07:00Z,WA0079,220115.09,W01,WEST,BRANCH_CASH,CASH_DEPOSIT,
TX0000182,2026-05-23T01:30:00Z,WA0017,298378.15,W03,WEST,ONLINE,TRANSFER,ben_west_0279
TX0000183,2026-05-23T17:00:00Z,WA0043,189506.97,W04,WEST,ONLINE,CASH_DEPOSIT,
TX0000184,2026-05-23T20:38:00Z,WA0039,300155.87,W04,WEST,ONLINE,CASH_WITHDRAWAL,
TX0000185,2026-05-24T10:31:00Z,NA0025,542489.73,N04,NORTH,BRANCH_CASH,TRANSFER,ben_north_0013
TX0000186,2026-05-24T17:07:00Z,NA0008,130855.91,N04,NORTH,BRANCH_CASH,TRANSFER,ben_north_0281
TX0000187,2026-05-24T22:31:00Z,NA0049,191929.13,N02,NORTH,BRANCH_CASH,TRANSFER,ben_north_0298
TX0000188,2026-05-24T19:38:00Z,NA0004,238403.4,N02,NORTH,BRANCH_CASH,CASH_WITHDRAWAL,
TX0000189,2026-05-24T20:17:00Z,NA0004,297324.99,N04,NORTH,ONLINE,CASH_DEPOSIT,
TX0000190,2026-05-24T08:55:00Z,NA0027,171576.34,N03,NORTH,BRANCH_CASH,CASH_WITHDRAWAL,
TX0000191,2026-05-24T03:54:00Z,NA0004,226247.64,N02,NORTH,ATM,CASH_DEPOSIT,
TX0000192,2026-05-24T11:40:00Z,NA0066,121191.76,N04,NORTH,ONLINE,CASH_DEPOSIT,
TX0000193,2026-05-24T19:21:00Z,NA0047,314933.62,N01,NORTH,ATM,CASH_DEPOSIT,
TX0000194,2026-05-24T21:39:00Z,NA0066,125606.41,N01,NORTH,BRANCH_CASH,CASH_WITHDRAWAL,
TX0000195,2026-05-24T13:11:00Z,NA0029,78019.16,N01,NORTH,BRANCH_CASH,TRANSFER,ben_north_0285
TX0000196,2026-05-24T02:01:00Z,NA0001,287956.32,N02,NORTH,BRANCH_CASH,CASH_WITHDRAWAL,
TX0000197,2026-05-24T06:21:00Z,NA0010,260080.96,N02,NORTH,ONLINE,TRANSFER,ben_north_0043
TX0000198,2026-05-24T16:32:00Z,NA0048,108358.44,N01,NORTH,BRANCH_CASH,TRANSFER,ben_north_0252
TX0000199,2026-05-24T17:50:00Z,NA0080,266750.44,N04,NORTH,ONLINE,CASH_WITHDRAWAL,
TX0000200,2026-05-24T02:28:00Z,NA0074,91497.44,N02,NORTH,ONLINE,CASH_DEPOSIT,
TX0000201,2026-05-24T07:25:00Z,NA0026,128832.79,N01,NORTH,BRANCH_CASH,CASH_DEPOSIT,
TX0000202,2026-05-24T20:42:00Z,NA0045,241839.17,N03,NORTH,ONLINE,CASH_DEPOSIT,
TX0000203,2026-05-24T10:31:00Z,NA0004,195410.21,N01,NORTH,BRANCH_CASH,TRANSFER,ben_north_0279
TX0000204,2026-05-24T19:38:00Z,NA0076,148003.61,N02,NORTH,ONLINE,TRANSFER,ben_north_0328
TX0000205,2026-05-24T11:02:00Z,NA0030,78728.67,N02,NORTH,BRANCH_CASH,CASH_WITHDRAWAL,
TX0000206,2026-05-24T06:13:00Z,NA0044,141401.77,N02,NORTH,BRANCH_CASH,CASH_DEPOSIT,
TX0000207,2026-05-24T22:56:00Z,NA0051,106848.0,N04,NORTH,BRANCH_CASH,CASH_DEPOSIT,
TX0000208,2026-05-24T09:01:00Z,NA0002,129367.02,N01,NORTH,ONLINE,CASH_WITHDRAWAL,
TX0000209,2026-05-24T22:47:00Z,NA0073,115997.47,N03,NORTH,BRANCH_CASH,TRANSFER,ben_north_0188
TX0000210,2026-05-24T01:10:00Z,NA0079,82801.0,N01,NORTH,BRANCH_CASH,CASH_WITHDRAWAL,
TX0000211,2026-05-24T17:24:00Z,NA0057,51085.79,N03,NORTH,ONLINE,CASH_WITHDRAWAL,
TX0000212,2026-05-24T12:18:00Z,NA0051,87609.62,N04,NORTH,ONLINE,TRANSFER,ben_north_0016
TX0000213,2026-05-24T17:23:00Z,NA0003,895353.36,N03,NORTH,BRANCH_CASH,CASH_WITHDRAWAL,
TX0000214,2026-05-24T09:57:00Z,NA0040,559392.68,N02,NORTH,BRANCH_CASH,CASH_DEPOSIT,
TX0000215,2026-05-24T02:22:00Z,NA0017,151698.45,N01,NORTH,ONLINE,CASH_DEPOSIT,
TX0000216,2026-05-24T07:04:00Z,NA0023,54881.71,N01,NORTH,ONLINE,TRANSFER,ben_north_0108
TX0000217,2026-05-24T07:13:00Z,NA0049,91052.7,N04,NORTH,ONLINE,CASH_DEPOSIT,
TX0000218,2026-05-24T05:14:00Z,NA0001,152371.13,N02,NORTH,ONLINE,TRANSFER,ben_north_0084
TX0000219,2026-05-24T13:06:00Z,NA0039,210861.43,N02,NORTH,BRANCH_CASH,CASH_WITHDRAWAL,
TX0000220,2026-05-24T13:57:00Z,NA0024,88244.99,N02,NORTH,ONLINE,TRANSFER,ben_north_0135
TX0000221,2026-05-24T04:33:00Z,NA0001,261605.35,N01,NORTH,BRANCH_CASH,CASH_DEPOSIT,
TX0000222,2026-05-24T21:56:00Z,NA0062,225205.18,N01,NORTH,ONLINE,CASH_WITHDRAWAL,
TX0000223,2026-05-24T09:34:00Z,NA0003,14916.92,N02,NORTH,BRANCH_CASH,CASH_DEPOSIT,
TX0000224,2026-05-24T19:13:00Z,NA0017,34626.28,N03,NORTH,ATM,CASH_DEPOSIT,
TX0000225,2026-05-24T08:58:00Z,NA0013,232739.74,N01,NORTH,BRANCH_CASH,TRANSFER,ben_north_0241
TX0000226,2026-05-24T20:02:00Z,NA0017,47445.42,N02,NORTH,ATM,CASH_DEPOSIT,
TX0000227,2026-05-24T00:40:00Z,NA0014,116686.73,N03,NORTH,ONLINE,CASH_DEPOSIT,
TX0000228,2026-05-24T01:59:00Z,NA0001,109559.99,N02,NORTH,ONLINE,TRANSFER,ben_north_0009
